abap microsoft/aisdkforsapabap
cpp microsoft/wagginwheels
cpp microsoft/wifi-telemetry
cpp microsoft/windbg-libraries
cpp microsoft/windows-container-tools
cpp microsoft/windows-networking-tools
cpp microsoft/winhttppal
cpp microsoft/winrtc
cpp microsoft/wpfdxinterop
cpp microsoft/wslg
cpp nginx/clang-ast
cpp shopify/faiss-ruby
cpp transferwise/souffle-ip-address
cpp valvesoftware/driver_hydra
csharp amzn/amazon-instant-access-sdk-net
csharp amzn/amazon-pay-api-sdk-dotnet
csharp amzn/ion-object-mapper-dotnet
csharp aspnet/aspnetoutputcache
csharp aspnet/aspnetsessionstate
csharp aspnet/browserlink
csharp aspnet/microsoft.aspnet.telemetrycorrelation
csharp aspnet/microsoftconfigurationbuildersphp aws/aws-sdk-php-zf2
csharp aspnet/roslyncodedomprovider
csharp aws/amazon-neptune-gremlin-dotnet-sigv4
csharp aws/aws-aspnet-cognito-identity-provider
csharp aws/aws-corewcf-extensions
csharp aws/aws-dotnet-extensions-configuration
csharp aws/aws-dotnet-session-provider
csharp aws/aws-logging-dotnet
csharp aws/aws-msk-iam-sasl-signer-net
csharp aws/aws-sdk-net-extensions-cognito
csharp aws/aws-secretsmanager-caching-net
csharp aws/aws-ssm-data-protection-provider-for-aspnet
csharp aws/aws-xray-dotnet-agent
csharp aws/integrations-on-dotnet-aspire-for-aws
csharp aws/porting-assistant-dotnet-datastore
csharp aws/porting-assistant-dotnet-visual-studio-ide-extension
csharp azure/3dpinballai
csharp azure/aimcore
csharp azure/aimmodel
csharp azure/aimtool
csharp azure/aks-middleware-csharp
csharp azure/apiforfhir-migration-tool
csharp azure/apigee_to_apim_migration_tool
csharp azure/apps-db-mongo-ai
csharp azure/arm-template-parser
csharp azure/aspnet-redis-providers
csharp azure/autorest.azureresourceschema
csharp azure/autorest.common
csharp azure/autorest.modeler
csharp azure/azure-app-service-authentication
csharp azure/azurearc-dev
csharp azure/azure-datafactory
csharp azure/azure-functions-applicationinsights-extension
csharp azure/azure-functions-cosmosdb-extension
csharp azure/azure-functions-dapr-extension
csharp azure/azure-functions-dotnet-extensions
csharp azure/azure-functions-durable-powershell
csharp azure/azure-functions-extension-bundles
csharp azure/azure-functions-openai-extension
csharp azure/azure-functions-postgresql-extension
csharp azure/azure-functions-powershell-library
csharp azure/azure-functions-powershell-opentelemetry
csharp azure/azure-functions-rabbitmq-extension
csharp azure/azure-functions-redis-extension
csharp azure/azure-functions-templates
csharp azure/azure-functions-tooling-feed
csharp azure/azure-functions-vs-build-sdk
csharp azure/azure-hacks
csharp azure/azure-kusto-nlog-sink
csharp azure/azure-kusto-render
csharp azure/azuremonitor-opentelemetry-profiler-net
csharp azure/azure-relay-aspnetserver
csharp azure/azure-relay-bridge
csharp azure/azure-saas
csharp azure/azure-sdk-for-media-services-extensions
csharp azure/azure-sdk-for-sap-odata
csharp azure/azure-signalr-bench
csharp azure/azure-sphere-tools
csharp azure/azure-storage-av-automation
csharp azure/azure-stream-analytics
csharp azure/azure-websites-security
csharp azure/bicep-extensibility
csharp azure/bicep-shared-tools
csharp azure/bicep-types
csharp azure/build-modern-ai-apps-hackathon
csharp azure/buildyourowncopilot
csharp azure/c-build-tools
csharp azure/cyclecloud-nodehealth
csharp azure/dataengineering
csharp azure/dataverse-to-sql
csharp azure/dotnet-template-azure-iot-edge-function
csharp azure/dotnet-template-azure-iot-edge-module
csharp azure/event-grid-iot-edge
csharp azure/fta-customerfacingapps
csharp azure/hpcpack-acm
csharp azure/hpcpack-acm-api-dotnet
csharp azure/hpcpack-acm-api-ps
csharp azure/iot-central-bidirectional-device-bridge
csharp azure/iot-pi-day
csharp azure/iot-plugandplay-models-tools
csharp azure/ip2azure
csharp azure/kubernetes-lab-files
csharp azure/kusto-copy
csharp azure/kusto-lightingest
csharp azure/logicapps-connector-extensions
csharp azure/mec-app-solution-accelerator
csharp azure/microsoft.avs.management-fct
csharp azure/microsoft.azure.stackexchangeredis
csharp azure/microsoft.extensions.caching.cosmos
csharp azure/microsoft-data-encryption-sdk
csharp azure/modern-web-app-pattern-dotnet
csharp azure/mtm-labs
csharp azure/mygreeterv3_csharp
csharp azure/notation-azure-kv
csharp azure/openapi-diff
csharp azure/real-time-payment-transaction-processing-at-scale
csharp azure/real-time-transactions-hackathon
csharp azure/semantic-kernel-bot-in-a-box
csharp azure/serilog-sinks-azuredataexplorer
csharp azure/service-fabric-autoscale-helper
csharp azure/sg-aks-workshop
csharp azure/sql-connectivity-checker
csharp azure/synapsertseventgrid
csharp azure/synapsertsstorage
csharp azure/vector-search-ai-assistant-mongodbvcore
csharp azure/vegakvs
csharp azure/webjobs.extensions.kusto
csharp dotnet/android-libzipsharp
csharp dotnet/android-tools
csharp dotnet/csharplang
csharp dotnet/csharpstandard
csharp dotnet/datagridextensions
csharp dotnet/deployment-tools
csharp dotnet/designs
csharp dotnet/format
csharp dotnet/intro-to-dotnet-web-dev
csharp dotnet/issue-labeler
csharp dotnet/macios-devtools
csharp dotnet/metadata-tools
csharp dotnet/nuget-trends
csharp dotnet/org-policy
csharp dotnet/project-system-tools
csharp dotnet/projfiletools
csharp dotnet/reproducible-builds
csharp dotnet/spa-templates
csharp dotnet/symreader
csharp dotnet/symreader-portable
csharp dotnet/versionsweeper
csharp dotnet/watsontcp
csharp dotnet/watsonwebserver
csharp dotnet/website-thanks-data
csharp dotnet/xcsync
csharp dotnet/xdt
csharp dynatrace/oneagent-sdk-for-dotnet
csharp google/chromebrowserenterprise
csharp google/etwtopprof
csharp google/library-wrapper-unity-common
csharp google/play-asset-delivery-unity
csharp google/play-common-unity
csharp google/play-core-unity
csharp google/play-in-app-reviews-unity
csharp google/play-in-app-updates-unity
csharp google/play-integrity-unity
csharp google/receipts-to-riches-part1
csharp google/receipts-to-riches-part2
csharp grafana/grafana-opentelemetry-dotnet
csharp mapbox/mapbox.io.compression-unity
csharp mapbox/vector-tile-cs
csharp matomo-org/piwik-dotnet-api
csharp matomo-org/piwik-dotnet-tracker
csharp microsoft/2lcs
csharp microsoft/adfsauthadapters
csharp microsoft/agdiag
csharp microsoft/agentic-report-generation
csharp microsoft/agents
csharp microsoft/ai-developer
csharp microsoft/ai-freezer-azure
csharp microsoft/aitour-advanced-coding-visual-studio-and-github-copilot
csharp microsoft/aitour-building-copilots-with-copilot-studio
csharp microsoft/aitour-ecommerce-app-with-ai
csharp microsoft/aitour-eshop-api
csharp microsoft/aitour-windows-theater
csharp microsoft/ambaribasedhadoopexporter
csharp microsoft/anantharekha
csharp microsoft/aoai-batch-buddy
csharp microsoft/aoai-logging-with-apim
csharp microsoft/appcenter-sdk-unity
csharp microsoft/appcenter-sdk-unity-extension
csharp microsoft/appinsights.enterprisetelemetry
csharp microsoft/appinsights.enterprisetelemetry.aspnetcore.extension
csharp microsoft/application-insights-istio-adapter
csharp microsoft/applicationinsights-kubernetes
csharp microsoft/applicationinsights-servicefabric
csharp microsoft/apsinet
csharp microsoft/artifacts-credprovider
csharp microsoft/atlas
csharp microsoft/audio-manager-for-unity
csharp microsoft/auditbuddy
csharp microsoft/authentication-events-function
csharp microsoft/azureautomaticgradingengine
csharp microsoft/azure-dev-day
csharp microsoft/azurekeyvaultexplorer
csharp microsoft/azure-non-fungible-token-solution-accelerator
csharp microsoft/azure-openai-service-proxy
csharp microsoft/azure-orbital-space-sdk-app-healthcheck
csharp microsoft/azure-orbital-space-sdk-client
csharp microsoft/azure-orbital-space-sdk-core
csharp microsoft/azure-orbital-space-sdk-data-generators
csharp microsoft/azure-orbital-space-sdk-hostsvc-link
csharp microsoft/azure-orbital-space-sdk-hostsvc-logging
csharp microsoft/azure-orbital-space-sdk-hostsvc-position
csharp microsoft/azure-orbital-space-sdk-hostsvc-sensor
csharp microsoft/azure-orbital-space-sdk-platform-deployment
csharp microsoft/azure-orbital-space-sdk-platform-mts
csharp microsoft/azure-orbital-space-sdk-vth
csharp microsoft/azure-pipelines-coveragepublisher
csharp microsoft/azure-pipelines-orchestrator
csharp microsoft/azureprovisioningusingfunctions
csharp microsoft/azure-sql-db-auditing-oms-integration
csharp microsoft/azurlshortener
csharp microsoft/blazor-graphql-starter-kit
csharp microsoft/bogusdependencies
csharp microsoft/botbuilder-realtimemediacalling
csharp microsoft/botframework-directline-dotnet
csharp microsoft/botframework-wechat
csharp microsoft/builduptodatechecker
csharp microsoft/cachepurge
csharp microsoft/carbon-aware-sdk
csharp microsoft/cds-services
csharp microsoft/clog
csharp microsoft/codecoverage
csharp microsoft/codetalk
csharp microsoft/cognitive_service_utilities
csharp microsoft/cognitive-common-windows
csharp microsoft/cognitive-emotion-windows
csharp microsoft/cognitive-luis-windows
csharp microsoft/cognitive-vision-windows
csharp microsoft/commercial-marketplace-client-dotnet
csharp microsoft/commercial-marketplace-offer-deploy
csharp microsoft/connected-fleet-refarch
csharp microsoft/conversational-speaker
csharp microsoft/converttosarif
csharp microsoft/copilotadventures
csharp microsoft/copyonwrite
csharp microsoft/cosmicclone
csharp microsoft/cosmosdb-solution-accelerator-cosmosdb-helper
csharp microsoft/cqrs.mediatr.lite
csharp microsoft/cromwellonazure
csharp microsoft/csaappservicedeployments
csharp microsoft/csapps-msteams-watercooler
csharp microsoft/dacfx
csharp microsoft/deadlettermonitor
csharp microsoft/decisiondiagrams
csharp microsoft/defenderfilescannotifier
csharp microsoft/developerkorea
csharp microsoft/devices-hardware-dev-center-manager
csharp microsoft/devskim
csharp microsoft/dicom-server
csharp microsoft/dotnet-rbroker-framework
csharp microsoft/dsl-copilot
csharp microsoft/dstoolkit-ai-jumpstart-kit
csharp microsoft/dsynth
csharp microsoft/dtdl-model-generator
csharp microsoft/dual-write-automations
csharp microsoft/durabletask-mssql
csharp microsoft/dwscripter
csharp microsoft/dynamic-odata
csharp microsoft/dynamics365f-o-custom-help
csharp microsoft/dynamics365-kbmigration
csharp microsoft/dynamics-ax-payroll-us
csharp microsoft/edge-selenium-tools
csharp microsoft/embeddedsocial-syncservice-for-oba
csharp microsoft/eventlogexpert
csharp microsoft/exekias
csharp microsoft/extensible-digital-content
csharp microsoft/fabricnotes
csharp microsoft/factored-segmenter
csharp microsoft/fast-pass
csharp microsoft/fastrdfstore
csharp microsoft/featuremanagement-dotnet
csharp microsoft/federal-ai-services
csharp microsoft/fhirblaze
csharp microsoft/fhir-link
csharp microsoft/fhir-loader
csharp microsoft/fhirpower
csharp microsoft/fhir-watch
csharp microsoft/finddevice
csharp microsoft/fit-on-fhir
csharp microsoft/flash_university
csharp microsoft/fluent-xaml-theme-editor
csharp microsoft/forge
csharp microsoft/franceconnect-data-provider-dotnet-webapi-aspnetcore
csharp microsoft/franceconnect-facade-dotnet-webapp-aspnetcore
csharp microsoft/franceconnect-identity-provider-dotnet-webapi-aspnetcore
csharp microsoft/franceconnect-service-provider-dotnet-webapp-aspnetcore
csharp microsoft/frozenobjects
csharp microsoft/gaitandbalanceapp
csharp microsoft/generative-ai-for-beginners-dotnet
csharp microsoft/gh-sync
csharp microsoft/globalopenaihack
csharp microsoft/graph-based-code-modelling
csharp microsoft/graphir
csharp microsoft/graphnotificationbroker
csharp microsoft/groupcachedotnet
csharp microsoft/guan
csharp microsoft/hackathon-team-builder
csharp microsoft/hack-together-teams
csharp microsoft/hands-on-lab-azure-functions
csharp microsoft/hands-on-lab-azure-functions-flex-openai
csharp microsoft/hands-on-lab-functions
csharp microsoft/hands-on-lab-redis
csharp microsoft/hashcalculator
csharp microsoft/hls-hack-services
